年,演題,著者,発表者,学会・講演会,日付,国内・国際,招待区分,発表形式,テーマ,仕事区分,表示
2026,内部空間制御を志向したメソ多孔質⾼分⼦の開発検討,藤本 真夕子; 齊藤 尚平; 須賀 健介,藤本 真夕子,第75回高分子討論会,2026/9/3,,一般,ポスター,高分子,須賀グループ,
2026,メチン架橋色素のフラグメントベース探索,天野 怜; 齊藤 尚平; 須賀 健介,天野 怜,π分子複雑性 第2回領域会議,2026/5/26,,,ポスター,化学空間,須賀グループ,
2026,エッチング条件に耐えるアミド系モノマーを用いた3D 造形高分子のメソポーラス化の検討,藤本 真夕子 ; 齊藤 尚平; 須賀 健介,藤本 真夕子,日本化学会第106春季年会,2026/3/18,,一般,口頭,高分子,須賀グループ,
